block_number,block_hash,parent_hash,timestamp,transaction_hash,from_address,to_address,actual_fee_amount,actual_fee_unit
776269,0x15a1b0b6f3bec50f945bd78120822c087b27930d72dd5db558fa0112379e973,0x4f974a0e301b4a927802257c40821c73788caa0a8807ec9fe83d27505ba6047,1728130286,0x2750524bed9d13eecbdd8cd858caddd1388f290d43854711d9bf8e9350bd4f2,0x8e6c05364cd7efbd56e81b01ec1ba41411b120d7dd9066c57bcf16ea460f30,Unknown,0x8f2e31c7b53deb,FRI
776269,0x15a1b0b6f3bec50f945bd78120822c087b27930d72dd5db558fa0112379e973,0x4f974a0e301b4a927802257c40821c73788caa0a8807ec9fe83d27505ba6047,1728130286,0x11d409d88b448015836ee6ccec7d43b05102bc411ef9a3d9732c60bf4e4e603,0x5d564ed21fd5def59d9e7a819cbc648716c15206517b0709ae0a784764649a,Unknown,0x1dca6829650,WEI
776269,0x15a1b0b6f3bec50f945bd78120822c087b27930d72dd5db558fa0112379e973,0x4f974a0e301b4a927802257c40821c73788caa0a8807ec9fe83d27505ba6047,1728130286,0x514245e1cd7ef19f070e16631b7f01cd61e174f373b189cc555cfbb996a3332,0x187f39846ab903738e98262d4892411ffa72f5f39d93ed4e0469c3cea4d8eb3,Unknown,0x8eae799ebd,WEI
776269,0x15a1b0b6f3bec50f945bd78120822c087b27930d72dd5db558fa0112379e973,0x4f974a0e301b4a927802257c40821c73788caa0a8807ec9fe83d27505ba6047,1728130286,0x7d1e75a4134ce504f2956c76f983b4d08a7b89552a347143113fc57b0a7b522,0x72c0c0d9c6b3d58850bf806a0bca19e9d697c4c1cf25374a804b74e9682ddbd,Unknown,0x1e90a03f9f9b92,FRI
776269,0x15a1b0b6f3bec50f945bd78120822c087b27930d72dd5db558fa0112379e973,0x4f974a0e301b4a927802257c40821c73788caa0a8807ec9fe83d27505ba6047,1728130286,0x12d45861748d4a73d48bb0ef827c2c5186735c181262ccb5d7d93e854b20a47,0x30d1a6061325132500b0c288e8e6deaeeb58ad7cb7b4c6e8239346959cb765d,Unknown,0xf2254512d883a,FRI
776269,0x15a1b0b6f3bec50f945bd78120822c087b27930d72dd5db558fa0112379e973,0x4f974a0e301b4a927802257c40821c73788caa0a8807ec9fe83d27505ba6047,1728130286,0x1846ea4418c1bd9f725ccc4b838e4007d9d8194100a39ec97398df57b3c5308,0x78e2b8e3689896c8b618cbf5f8694c557a6264e60adeee5df7de5e396e74986,Unknown,0x2f09b1f112,WEI
776269,0x15a1b0b6f3bec50f945bd78120822c087b27930d72dd5db558fa0112379e973,0x4f974a0e301b4a927802257c40821c73788caa0a8807ec9fe83d27505ba6047,1728130286,0x79ceead6cfdc535eddb224cd590dafcaba9aa50afe763fba8dcf1594ce96105,0xe0a94d0d182bd0f061a7d963ab0767999b888fe2c52187aa4bf442ac4e66e7,Unknown,0x1b98f41b95ad26,FRI
776269,0x15a1b0b6f3bec50f945bd78120822c087b27930d72dd5db558fa0112379e973,0x4f974a0e301b4a927802257c40821c73788caa0a8807ec9fe83d27505ba6047,1728130286,0x60f1fdff90bf78add6ddff947dfc33a0b1ee7373c815c6fc25bc37db8b1565,0x23fdf21800eac4c707c46a5e247df156122453af63897507a6138cd9e5a8457,Unknown,0x207e69bd7f46f5,FRI
776269,0x15a1b0b6f3bec50f945bd78120822c087b27930d72dd5db558fa0112379e973,0x4f974a0e301b4a927802257c40821c73788caa0a8807ec9fe83d27505ba6047,1728130286,0x2312d95f7c4c1eee3246dbdf43e481b9963fbea71fad8e63eb255229dce0fe1,0x5d564ed21fd5def59d9e7a819cbc648716c15206517b0709ae0a784764649a,Unknown,0x1c6b30d6b2e,WEI
776268,0x4f974a0e301b4a927802257c40821c73788caa0a8807ec9fe83d27505ba6047,0x30ed738f955e93cbee4233cc9641ee4ffc9d3ecf0eada5d30a2da229f74dece,1728130250,0x15fee28eb888d22bf7e21b853716da6e8e74b96f3b737b36d321047d02f11,0x590155105860625c4b7f0f794e173b72d172adfdec1a60d1f31d9fabb52463a,Unknown,0x211f5c3b8be,WEI
776268,0x4f974a0e301b4a927802257c40821c73788caa0a8807ec9fe83d27505ba6047,0x30ed738f955e93cbee4233cc9641ee4ffc9d3ecf0eada5d30a2da229f74dece,1728130250,0x378286927d0871897009e08cbfdbf695a1eda72590d12922500bd4fa5ce802d,0x344c86d9d9a189cf1b616c8d3bd550bdfd3f099f4076f7e680a14d4d8981124,Unknown,0x2a55868bbd0,WEI
776268,0x4f974a0e301b4a927802257c40821c73788caa0a8807ec9fe83d27505ba6047,0x30ed738f955e93cbee4233cc9641ee4ffc9d3ecf0eada5d30a2da229f74dece,1728130250,0x47310d9fadac7126d5462a37951e2bfbf50f29e93dba9f95bf3f61e25daabf6,0x8e6c05364cd7efbd56e81b01ec1ba41411b120d7dd9066c57bcf16ea460f30,Unknown,0x6f93aee3e1fe1,FRI
