block_number,block_hash,parent_hash,timestamp,transaction_hash,from_address,to_address,actual_fee_amount,actual_fee_unit,fee_in_eth,tx_count,time_diff,avg_fee,std_fee,anomaly
776264,0x689111d70dea31d20aaf8c96c4779a0137f42cdca75e531f3aa3085436242a1,0x43342ed2819160dab67807919123804e2c54665c5915d77a9a049f05648f576,2024-10-05 12:08:35,0x61d8edb1cf473f1d755917f7121e79b92e42c9f5ccd30f6df103404c0a8107d,0x6635385c9a2d74be9022c5e82cc6e664d2932181bba26dc96b04fc2db6d1754,Unknown,0x72e0fd62468,WEI,7.894415582312e-06,1,0.0,7.894415582312e-06,,False
776230,0x4777769e2938eb992a1635cc7979eaeedb3b8234938c3fd181db5dce415e2ef,0x757a88049da596e7610e7ed59b4614497c25da3369f67fb7e9b88cb62b8a8e6,2024-10-05 11:50:15,0x57111bf55f532de41735db3c09c161843a4fa28d1fe4ad806f6857a6c58d30c,0x663ddad71900fbc0fd4a995179addc9f7b5fab2133acda56dcf830e65b3c682,Unknown,0x4944df463a,WEI,3.14688095802e-07,2,0.0,9.301699019690001e-07,8.7042271767526e-07,False
776232,0xdcc56e1fb88d53ab2eb49aedec8a4485fb440b3afbfd2bd07483120720ec7,0x2dcdefacccef242ab74f58b725f9352c8e033bc3df53387895d7ada7fa6d169,2024-10-05 11:51:20,0x2cb5e2d0cd5c62a67b08850dbdd6f1bb92e1b18f671e2114ca7bd5524547e29,0x663ddad71900fbc0fd4a995179addc9f7b5fab2133acda56dcf830e65b3c682,Unknown,0x167e00560e8,WEI,1.545651708136e-06,2,65.0,9.301699019690001e-07,8.7042271767526e-07,False
776230,0x4777769e2938eb992a1635cc7979eaeedb3b8234938c3fd181db5dce415e2ef,0x757a88049da596e7610e7ed59b4614497c25da3369f67fb7e9b88cb62b8a8e6,2024-10-05 11:50:15,0x7d83e9e7aa5856604700ed2a950111331de5c813f0d5989b60ded02822d1853,0x66a0c58ce13d66518c5d9b2eaf869d55aea3704be218c6c502dc279404ff8bb,Unknown,0x8cee5d93362af,FRI,2479286.400541359,2,0.0,7308266.86665883,6829209.667618077,False
776233,0x7a4ddf5a901e5651e8a3ab79770315071166be3312c6c477c146b5e731fffc4,0xdcc56e1fb88d53ab2eb49aedec8a4485fb440b3afbfd2bd07483120720ec7,2024-10-05 11:51:57,0x541151d1672f07bc19db352e0884fce762b01719845cdaa49d7d4c200a62830,0x66a0c58ce13d66518c5d9b2eaf869d55aea3704be218c6c502dc279404ff8bb,Unknown,0x2b1ec31bd2396c,FRI,12137247.3327763,2,102.0,7308266.86665883,6829209.667618077,False
776208,0xad3e49b00ebb60e8762b45aec8d60297b8dbf7833cea12b80547cb55bb41e1,0x6c2fe2b195d31a8d7db20a7d2c5f8eb7cf9c10a275dba93fe902344d69f5c42,2024-10-05 11:37:54,0x3404cfd7bf82a2ab802007c5803ab18ea750e101975908aa50465800e21b748,0x6707675cd7dd9256667eca8284e46f4546711ee0054bc2dd02f0ce572056cf4,Unknown,0x127be818930f,WEI,2.0323384201999e-05,10,0.0,1.0380885233873301e-05,4.775624292937738e-06,False
776209,0x6c40eb928ac8bf55fc1a2cc2ef94cc02697322a7ae5ebaa050ca7cdd8113afe,0xad3e49b00ebb60e8762b45aec8d60297b8dbf7833cea12b80547cb55bb41e1,2024-10-05 11:38:24,0x246b14094c0d09744c7443317f45d85cd906e93a7526e894c495e20700604e,0x6707675cd7dd9256667eca8284e46f4546711ee0054bc2dd02f0ce572056cf4,Unknown,0xb37727deb37,WEI,1.2332771961655e-05,10,30.0,1.0380885233873301e-05,4.775624292937738e-06,False
776209,0x6c40eb928ac8bf55fc1a2cc2ef94cc02697322a7ae5ebaa050ca7cdd8113afe,0xad3e49b00ebb60e8762b45aec8d60297b8dbf7833cea12b80547cb55bb41e1,2024-10-05 11:38:24,0x31ad541e9fc1d5a49c614ca2607cfb2980956851d4368a2bf79f9912e7d8815,0x6707675cd7dd9256667eca8284e46f4546711ee0054bc2dd02f0ce572056cf4,Unknown,0xb65932caab3,WEI,1.2530888780467e-05,10,0.0,1.0380885233873301e-05,4.775624292937738e-06,False
776209,0x6c40eb928ac8bf55fc1a2cc2ef94cc02697322a7ae5ebaa050ca7cdd8113afe,0xad3e49b00ebb60e8762b45aec8d60297b8dbf7833cea12b80547cb55bb41e1,2024-10-05 11:38:24,0x1bca203750df4398fe898a72e05cc9bbbb42032e3a57d33274ef5719e486a00,0x6707675cd7dd9256667eca8284e46f4546711ee0054bc2dd02f0ce572056cf4,Unknown,0x5c415d7dd40,WEI,6.339738197312e-06,10,0.0,1.0380885233873301e-05,4.775624292937738e-06,False
776209,0x6c40eb928ac8bf55fc1a2cc2ef94cc02697322a7ae5ebaa050ca7cdd8113afe,0xad3e49b00ebb60e8762b45aec8d60297b8dbf7833cea12b80547cb55bb41e1,2024-10-05 11:38:24,0x5946cb50a3f4ea441891494ae433b65df030242c3e957e41d16573cf99d3c69,0x6707675cd7dd9256667eca8284e46f4546711ee0054bc2dd02f0ce572056cf4,Unknown,0x17edc10c932,WEI,1.644369594674e-06,10,0.0,1.0380885233873301e-05,4.775624292937738e-06,False
